# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	1402
#@/user_id	TonyjiansWindows
jia ru yi ge 	加入一个	c=1 d=0.103312 t=1402
jia shang 	加上	c=0 d=0.0985112 t=1402
jia shang le 	加上了	c=1 d=0.774917 t=1402
jia shang zhe liang tiao 	加上这两条	c=1 d=0.99005 t=1402
jia zai 	加载	c=0 d=0.0066205 t=1402
jian 	键	c=1 d=0.481909 t=1402
jian dan 	简单	c=0 d=0.0640824 t=1402
jian guo yun 	坚果云	c=1 d=0.980199 t=1402
jian li 	简历	c=2 d=0.175634 t=1402
jian li zhi zuo 	简历制作	c=1 d=0.0884781 t=1402
jian pan 	键盘	c=1 d=0.477114 t=1402
jian qie ban 	剪切板	c=1 d=0.980199 t=1402
jian yi 	建议	c=0 d=0.0818731 t=1402
jian zhi 	兼职	c=1 d=0.268474 t=1402
jiang 	将	c=2 d=0.546074 t=1402
jiao 	叫	c=1 d=0.545696 t=1402
jiao ao 	骄傲	c=0 d=0.0913931 t=1402
jiao ben 	脚本	c=2 d=0.171758 t=1402
jiao xia 	脚下	c=0 d=0.101553 t=1402
jie du 	解读	c=0 d=0.0822835 t=1402
jie jue fang an 	解决方案	c=1 d=0.106992 t=1402
jie mi 	解密	c=1 d=0.12938 t=1402
jie ru 	接入	c=1 d=0.50409 t=1402
jie shi 	解释	c=1 d=0.084163 t=1402
jie shi yi xia 	解释一下	c=1 d=0.535261 t=1402
jie shou 	接收	c=1 d=0.472367 t=1402
jie yan 	戒烟	c=1 d=0.708948 t=1402
jie yan ji hua 	戒烟计划	c=1 d=0.843665 t=1402
jie zhe 	接着	c=0 d=0.0947124 t=1402
jie zhe fa 	接着发	c=1 d=0.798516 t=1402
jin 	进	c=0 d=0.0179066 t=1402
jin ji de ju ren 	进击的巨人	c=2 d=0.844213 t=1402
jin song ji bu 	金松季步	c=1 d=0.351692 t=1402
jin tian 	今天	c=2 d=0.411026 t=1402
jin wan 	今晚	c=0 d=0.0168638 t=1402
jin wan gao bu wan le 	今晚搞不完了	c=1 d=0.169483 t=1402
jing chang 	经常	c=1 d=0.794534 t=1402
jing shen 	精神	c=1 d=0.344728 t=1402
jing shen shi jie 	精神世界	c=1 d=0.283654 t=1402
jing sheng jian jiao 	惊声尖叫	c=2 d=0.705146 t=1402
jing xi 	精细	c=0 d=0.0847894 t=1402
jing xi dao tian 	精细到天	c=1 d=0.852144 t=1402
jiu 	久	c=0 d=0.0166127 t=1402
jiu 	就	c=3 d=0.8299 t=1402
jiu dian 	酒店	c=1 d=0.324652 t=1402
jiu hui 	就会	c=0 d=0.00531307 t=1402
jiu mei you 	就没有	c=1 d=0.744532 t=1402
jiu neng 	就能	c=1 d=0.787591 t=1402
jiu shi 	就是	c=3 d=0.890274 t=1402
jiu zhi neng 	就只能	c=1 d=0.860708 t=1402
ju 	巨	c=0 d=0.0524663 t=1402
ju hao 	句号	c=1 d=0.470011 t=1402
ju li 	距离	c=1 d=0.529935 t=1402
juan zhou 	卷轴	c=3 d=0.704014 t=1402
jue 	觉	c=0 d=0.0110251 t=1402
jue ding 	决定	c=0 d=0.0557106 t=1402
jue ding 	绝顶	c=1 d=0.382663 t=1402
ka 	卡	c=1 d=0.213312 t=1402
kai qi 	开启	c=1 d=0.224249 t=1402
kan 	看	c=0 d=0.0913931 t=1402
kan bu dong 	看不懂	c=1 d=0.0569831 t=1402
kan dao le 	看到了	c=1 d=0.108067 t=1402
kan kan 	看看	c=1 d=0.449329 t=1402
kan yi kan 	看一看	c=1 d=0.923116 t=1402
kao lv 	考虑	c=1 d=0.0944202 t=1402
kao shi wang 	考试网	c=1 d=0.273898 t=1402
ke bu ke yi 	可不可以	c=1 d=0.246597 t=1402
ke neng 	可能	c=0 d=0.0110803 t=1402
ke shi 	可是	c=1 d=0.99005 t=1402
ke yi 	可以	c=1 d=0.108609 t=1402
ke yi zai 	可以在	c=1 d=0.2334 t=1402
ken ding 	肯定	c=0 d=0.0970446 t=1402
ken ding zhuang le 	肯定装了	c=1 d=0.97531 t=1402
kong zhi ni 	控制你	c=1 d=0.532592 t=1402
kua ke wang pan 	夸克网盘	c=1 d=0.923116 t=1402
kuai chuan 	快传	c=0 d=0.0119433 t=1402
kuai de le ba 	快得了吧	c=1 d=0.640824 t=1402
la 	啦	c=1 d=0.778801 t=1402
lai 	来	c=1 d=0.726481 t=1402
lai 	赖	c=1 d=0.557106 t=1402
lai lin feng 	赖霖枫	c=1 d=0.56836 t=1402
lai zhe 	来着	c=1 d=1 t=1402
lao dian nao 	老电脑	c=3 d=1.07801 t=1402
le 	了	c=9 d=2.12645 t=1402
li 	力	c=1 d=0.442639 t=1402
li 	立	c=0 d=0.0873716 t=1402
li 	里	c=19 d=5.2484 t=1402
li kai 	离开	c=0 d=0.00699482 t=1402
li mian 	里面	c=0 d=0.11364 t=1402
li mian chu xian le 	里面出现了	c=1 d=0.433874 t=1402
li mian de 	里面的	c=1 d=0.786628 t=1402
li mian zhi you 	里面只有	c=1 d=0.70822 t=1402
lian jie 	链接	c=1 d=0.781914 t=1402
liang 	两	c=1 d=0.279431 t=1402
liang bu jiu 	两部就	c=1 d=0.774916 t=1402
liang ge 	两个	c=2 d=0.970446 t=1402
liang tiao 	两条	c=0 d=0.0985112 t=1402
liang xin yun 	良心云	c=2 d=0.657473 t=1402
liang xing 	两性	c=0 d=0.0331211 t=1402
liang xing dui li 	两性对立	c=1 d=0.332871 t=1402
liao sheng yu wu 	聊胜于无	c=0 d=0.00987662 t=1402
lin 	膦	c=1 d=0.559898 t=1402
lin 	霖	c=1 d=0.562705 t=1402
liu chang 	流畅	c=1 d=0.913931 t=1402
liu lan qi 	浏览器	c=1 d=0.140858 t=1402
liu lang xing qiu 	流浪星球	c=1 d=0.918512 t=1402
long xia 	龙虾	c=1 d=0.506617 t=1402
lu jing 	路径	c=1 d=0.0611149 t=1402
luan xian 	滦县	c=1 d=0.618783 t=1402
luo xia 	落霞	c=0 d=0.0946485 t=1402
luo xia gu wu 	落霞孤鹜	c=1 d=0.951229 t=1402
ma 	吗	c=20 d=5.15432 t=1402
ma 	嘛	c=1 d=0.0550232 t=1402
ma le dou bao yi dun 	吗了豆包一顿	c=1 d=0.718924 t=1402
ma shang 	马上	c=0 d=0.00531307 t=1402
mai cong 	迈从	c=1 d=0.474734 t=1402
mai fang 	买房	c=2 d=0.563113 t=1402
man man 	漫漫	c=1 d=0.729789 t=1402
mao pian 	毛骗	c=1 d=0.171187 t=1402
mei 	没	c=0 d=0.0955997 t=1402
mei bian 	没变	c=1 d=0.704688 t=1402
mei dui shang 	没对上	c=2 d=0.299979 t=1402
mei guo 	没过	c=1 d=0.207008 t=1402
mei sheng xiao 	没生效	c=1 d=0.631284 t=1402
mei shi le 	没事了	c=1 d=0.145148 t=1402
mei tian 	每天	c=1 d=0.631284 t=1402
mei yong 	没用	c=2 d=1.04664 t=1402
mei you 	没有	c=14 d=5.06884 t=1402
mei you le 	没有了	c=1 d=0.339596 t=1402
mei you sheng xiao 	没有生效	c=1 d=0.960789 t=1402
mi yao 	密钥	c=3 d=0.80304 t=1402
mian 	面	c=0 d=0.0722527 t=1402
mian fei e du 	免费额度	c=1 d=0.0713613 t=1402
mian mian 	绵绵	c=1 d=0.733447 t=1402
mian mian de qing shan jiao xia hua zheng kai 	面面的青山脚下花正开	c=1 d=0.726149 t=1402
mian yan 	绵延	c=0 d=0.0810584 t=1402
ming 	名	c=1 d=0.238115 t=1402
ming ling 	命令	c=1 d=0.0478349 t=1402
ming zi 	名字	c=2 d=0.487747 t=1402
mo hu yin 	模糊音	c=1 d=0.995012 t=1402
mo kuai 	模块	c=0 d=0.0416862 t=1402
